title,genres
Assassination Classroom: Graduation,"['action', 'adventure', 'comedy', 'sci-fi']"
Assault on Precinct 13,"['action', 'crime', 'drama', 'thriller']"
Astérix: The Mansion of the Gods,"['action', 'adventure', 'comedy', 'crime', 'fantasy', 'thriller']"
Asura: The City of Madness,"['action', 'crime', 'thriller']"
Athos,['documentary']
Attack on Titan,"['animation', 'action', 'adventure', 'drama', 'fantasy', 'horror']"
Atypical,"['comedy', 'drama']"
August: Osage County,"['comedy', 'drama']"
Autumn Girl,"['biography', 'drama', 'musical', 'romance']"
Autumn's Concerto,"['drama', 'romance']"
Av: The Hunt,"['action', 'thriller']"
Ava,"['action', 'drama', 'thriller']"
Avalanche,['drama']
Avatar: The Last Airbender,"['animation', 'action', 'adventure', 'family', 'fantasy', 'mystery']"
Avengement,['action']
Ayinla,['drama']
"BASTARD‼ -Heavy Metal, Dark Fantasy-","['animation', 'action', 'adventure', 'comedy', 'fantasy']"
BEAUTY,"['drama', 'romance']"
BG Personal Bodyguard,['drama']
Baby Driver,"['action', 'crime', 'drama', 'music']"
Baby Fever,"['comedy', 'drama', 'romance']"
Baby Mama,"['comedy', 'romance']"
Back to 15,"['comedy', 'drama']"
Back to Q82,"['action', 'adventure', 'comedy']"
Back to the Outback,"['animation', 'adventure', 'comedy', 'family']"
Backstreet Rookie,"['action', 'comedy', 'romance']"
Backtrace,"['short', 'action', 'adventure', 'sci-fi']"
Bad And Crazy,"['comedy', 'romance']"
Bad Blood,"['drama', 'thriller']"
Bad Boys for Life,"['action', 'comedy', 'crime', 'thriller']"
Bad Exorcist,"['drama', 'horror', 'mystery', 'thriller']"
Bad Neighbours 2,['comedy']
Bad Romeo,"['drama', 'romance']"
Bad Sport,"['documentary', 'crime', 'mystery', 'sport']"
Bad Teacher,"['comedy', 'romance']"
Bad Vegan: Fame. Fraud. Fugitives.,"['documentary', 'crime']"
Badhaai Do,"['comedy', 'crime', 'drama', 'romance']"
Badla,"['crime', 'drama', 'mystery', 'thriller']"
Bagman,"['crime', 'drama', 'thriller']"
Bake Squad,"['game-show', 'reality-tv']"
Baki Hanma,"['animation', 'action', 'drama', 'sport', 'thriller']"
Baking Impossible,"['game-show', 'reality-tv']"
Ballerina,['short']
Bangkok Breaking,"['action', 'crime', 'drama', 'thriller']"
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside","['animation', 'adventure', 'fantasy']"
Bank Robbers: The Last Great Heist,"['documentary', 'crime']"
Bankrolled,['comedy']
Baraki,['comedy']
Barbecue,['documentary']
Barbie & Chelsea: The Lost Birthday,"['animation', 'adventure', 'family']"
Barbie Big City Big Dreams,"['animation', 'action', 'fantasy']"
Barbie Mariposa & the Fairy Princess,"['animation', 'family', 'fantasy']"
Barbie as the Princess and the Pauper,"['animation', 'comedy', 'family', 'musical']"
Barbie in a Mermaid Tale,"['animation', 'family', 'fantasy']"
Barbie in the 12 Dancing Princesses,"['animation', 'family']"
Barbie: A Fairy Secret,"['animation', 'family', 'fantasy']"
Barbie: It Takes Two,"['animation', 'short', 'adventure', 'comedy', 'family', 'musical']"
Barbie: Princess Charm School,"['animation', 'family', 'fantasy']"
Barbie: Spy Squad,"['animation', 'family']"
Barefoot,"['comedy', 'drama']"
Barnyard,"['animation', 'adventure', 'comedy', 'drama', 'family']"
Bartkowiak,"['action', 'crime', 'sport']"
Bastille Day,"['action', 'crime', 'drama', 'thriller']"
Batman Begins,"['action', 'crime', 'drama']"
Batman v Superman: Dawn of Justice,"['action', 'adventure', 'sci-fi']"
Battle,"['drama', 'romance']"
Battle: Freestyle,"['drama', 'music', 'romance']"
Battleship,"['action', 'adventure', 'sci-fi', 'thriller']"
Baywatch,"['action', 'comedy', 'crime']"
Be Alive Just Like You,['drama']
Be Together,"['drama', 'romance']"
Beast,"['action', 'adventure', 'drama', 'horror', 'thriller']"
Beast (Telugu),"['short', 'drama']"
Beastie Boys,"['documentary', 'biography', 'music']"
Beautiful Creatures,"['drama', 'fantasy', 'romance']"
Beautiful Gong Shim,"['comedy', 'crime', 'drama', 'romance']"
Beauty Inside,"['drama', 'fantasy', 'romance']"
Beauty and the Beast,"['adventure', 'family', 'fantasy', 'musical', 'romance']"
Beckett,"['action', 'crime', 'drama', 'thriller']"
Bedazzled,"['comedy', 'fantasy']"
Before I Go to Sleep,"['drama', 'mystery', 'thriller']"
Believe Me: The Abduction of Lisa McVey,"['biography', 'crime', 'drama']"
Belle,"['animation', 'adventure', 'drama', 'family', 'fantasy', 'music', 'musical', 'sci-fi']"
Below Deck,['reality-tv']
Below Deck Mediterranean,['reality-tv']
